place,country,lat,lon,color,radius,,,,
Devon,UK,50.77,-3.99,black,5,,,,
Devon,UK,50.77,-3.99,white,2,,,,
Chicago,USA,41.88,-87.63,black,5,,,,
Chicago,USA,41.88,-87.63,white,2,,,,
Dubai,Dubai,25.2,55.27,black,5,,,,
Dubai,Dubai,25.2,55.27,white,2,,,,
Leeds,UK,53.8,-1.55,black,5,,,,
Leeds,UK,53.8,-1.55,white,2,,,,
Osaka,Japan,34.69,135.5,black,5,,,,
Osaka,Japan,34.69,135.5,white,2,,,,
Paris,France,48.86,2.35,black,5,,,,
Paris,France,48.86,2.35,white,2,,,,
Seoul,"Korea, Republic of",37.57,126.98,black,5,,,,#f9bc26
Seoul,"Korea, Republic of",37.57,126.98,white,2,,,,
Trento,Italy,46.07,11.12,black,5,,,,
Trento,Italy,46.07,11.12,white,2,,,,
Buenos Aires,Argentina,-34.6,-58.38,black,5,,,,
Buenos Aires,Argentina,-34.6,-58.38,white,2,,,,
Gothenburg,Sweeden,57.71,11.97,black,5,,,,
Gothenburg,Sweeden,57.71,11.97,white,2,,,,
St.Petersburg,Russia,55.76,37.62,black,5,,,,
St.Petersburg,Russia,55.76,37.62,white,2,,,,
Athens,Greece,37.98,23.73,black,5,,,,
Athens,Greece,37.98,23.73,white,2,,,,
Queensland,Australia,-27.46,153.02,black,5,,,,
Queensland,Australia,-27.46,153.02,white,2,,,,
Toronto,Canada,43.65,-79.38,black,5,,,,
Toronto,Canada,43.65,-79.38,white,2,,,,
Sheffield,UK,53.38,-1.47,black,5,,,,
Sheffield,UK,53.38,-1.47,white,2,,,,
Rio,Brazil,-22.91,-43.17,black,5,,,,
Rio,Brazil,-22.91,-43.17,white,2,,,,
Hampshire,UK,51.08,-1.216,black,5,,,,
Hampshire,UK,51.08,-1.216,white,2,,,,
Belfast,UK / NI,54.59,-5.93,black,5,,,,
Belfast,UK / NI,54.59,-5.93,white,2,,,,
Bristol,UK,51.45,-2.58,black,5,,,,
Bristol,UK,51.45,-2.58,white,2,,,,
Cairo,Egypt,30.04,31.23,black,5,,,,
Cairo,Egypt,30.04,31.23,white,2,,,,
Galway,Republic of Ireland,53.27,-9.05,black,5,,,,
Galway,Republic of Ireland,53.27,-9.05,white,2,,,,
Vienna,Austria,48.2,16.37,black,5,,,,
Vienna,Austria,48.2,16.37,white,2,,,,
Riyadh,Saudi Arabia,24.4,46.46,black,5,,,,
Riyadh,Saudi Arabia,24.4,46.46,white,2,,,,
Aberdeen,Scotland,57.8,2.5,black,5,,,,
Aberdeen,Scotland,57.8,2.5,white,2,,,,
Birmingham,UK,52.29,1.53,black,5,,,,
Birmingham,UK,52.29,1.53,white,2,,,,
Madrid,Spain,40.25,3.42,black,5,,,,
Madrid,Spain,40.25,3.42,white,2,,,,
Brasilla,Brazil,47.51,15.49,black,5,,,,
Brasilla,Brazil,47.51,15.49,white,2,,,,